tweet_id,username,tweet_content,tweet_label
1970083558544089111,Project Multatuli,Apa yang menurutmu salah dari MBG? https://t.co/yauyuRmlvc,
1967802981862277607,salam4jari,"Surat Edaran Proyek Makan Beracun Gratis (MBG) 

Poin 7. Jika terjadi keracunan, dll pihak kedua tidak boleh mempublikasikannya.

Apakah ini sebagai bentuk pembungkaman? https://t.co/PINZf9jhaH",
1968473097616638158,Beby Sweet,"Korban keracunan MBG masih terus berjatuhan.

Sampai hari ini sudah ribuan siswa jadi korban keracunan MBG. Namun seperti sebelumnya tidak ada pengelola dapurnya yang DITANGKAP. Apa karena pemilik dapurnya anggota dewan....? https://t.co/uvAFSR0HdF",
1969929640853844095,zhil,"MBG adalah bukti paripurna jeleknya kualitas dan kompetensi elite penguasa Indonesia. 

Kenapa sih harus MBG? Kenapa nggak proyek KRL atau pabrik? 

Jawab: karena para elite itu tidak mampu membangun KRL dan pabrik. Karena mereka bodoh dan malas. Lebih gampang bikin dapur. https://t.co/DZsL3q5vpJ",
1969023678483693785,tempo.co,"Menteri Keuangan Purbaya Yudhi Sadewa bakal menarik kembali anggaran belanja kementerian/lembaga yang tak terserap. 

Semua kementerian/lembaga bakal disisir, termasuk anggaran program makan bergizi gratis (MBG). https://t.co/lvJAgWbeYJ",
1970158652670841213,salam4jari,Berikut adalah daftar nama yang harus bertanggung jawab apabila proyek MBG menimbulkan korban jiwa. https://t.co/5T0I8YVuRw,
1970071708276330516,ruhulmaani,"Gila sih kalo kasus keracunan MBG bisa mencapai ribuan gini, tapi gak ada satupun yg dipidana. Kejahatan yang dilindungi oleh rezim. https://t.co/28JDFbm8Mc",
1969554681644138855,Puthut EA,Hentikan dulu MBG. Evaluasi. Libatkan para ahli memberi masukan. Rakyat jangan dijadikan program ujicoba yg berisiko tinggi. Tolong retwit yg byk supaya didengar pemerintah 🙏,
1969309985441267911,ziii 🦋,"MBG itu investasi masa depan bangsa!
Walaupun banyak berita tidak enak terdengar, jangan sampai kita terbawa arus pesimisme. Manfaat MBG nyata.
memperkuat ketahanan pangan, membuka lapangan kerja, mendorong ekonomi lokal, dan yang paling penting menjadi senjata utama melawan https://t.co/AKCnRpeRcP",
1970142002147905755,Bareng Warga - #BebaskanKawanKami,"Breaking: 75 pelajar di Cipongkor, bandung barat keracunan MBG.

Pemkab  tetapkan status KEJADIAN LUAR BIASA, anak yg keracunan dirujuk ke RSUD Cililin, kondisi masih ditelusuri. Ada kemungkinan jumlah korban bisa bertambah.

 https://t.co/j76LAoHvEh",
1968917808202514472,dwynna,"total anggaran pendidikan 2025 &gt; 757 triliun
44,6% dialokasikan buat MBG &gt; 335 triliun

kasus-kasus MBG:
• tercatat 5.360 anak keracunan
• guru ikut keracunan karena diminta mencicipi makanan sebelum disajikan 
• makanan ditemukan belatung/basi/busuk dll
• surat edaran yg https://t.co/G3va4L7lSN",
1969605343656493220,Iman Zanatul Haeri,"EVALUASI MBG! 

⛔ Guru repot mengatur MBG:
-membagikan
-mengikat
-mengumpulkan
-memastikan habis
-dipaksa mencicipi
-mengganggu jam ajar

⛔ sekolah terbebani tanggung jawab: -jika tempat makan hilang
-jika makanan tersisa
-jika keracunan

⛔ Orang Tua: 
- tidak ada jaminan",
1970075895504531892,SUGONDESE,sedih ngelihat MBG yg didapet adek gwe vs yg dia makan dirumah https://t.co/xoC6BofQfA,
1969212413900689862,zhil,"Proyek Megakorupsi Wisma Atlet: Rp 2.5 triliun

Proyek Megakorupsi MBG: Rp 2.4 triliun tiap 2 hari

20 juta anak memakan Objek Misterius X yang busuk amis tajam lengket penuh belatung, 

Ribuan keracunan, kejang, muntah, dan mencret, 

Ompreng dilumasi minyak babi (haram https://t.co/EX7vPF6HzX",
1970064793135702355,perupadata,"Desakan buat evaluasi MBG kini mengemuka dari berbagai disiplin keilmuan:

Ekonomi ✅️
Pendidikan ✅️
Kedokteran anak ✅️
Perlindungan anak ✅️

Jadi kenapa kira-kira pemerintah tak kunjung mengevaluasi menyeluruh sampai sekian bulan berjalan dan ribuan orang keracunan? https://t.co/y0D5T2pALH",
1968491413307379889,Jejak digital.,Keracunan MBG https://t.co/CsLh4AxZJW,
1969297138447220833,Miftah Rizaq,"Anggaran MBG itu 1,2 triliun PERHARI!

Sekali lagi, PERHARI!

Itu program ngaco kalo diliburin seminggu, trus duitnya buat bangun sekolahan, renovasi sekolah rusak, bayar gaji guru dengan layak, dandanin infrastruktur, sama buat beasiswa, udah banyak yg terselamatkan!

MBG taek!",
1970007881258095066,Catch Me Up!,"Total, lebih dari lima ribu siswa keracunan massal menu MBG. Pemerintah janji evaluasi, tapi sudah kah berbenah? https://t.co/aKi9nr79XQ",
1968920144895234414,Jeya • Owner @english_menfess,"""Tapi MBG bagus buat org miskin yang gabisa makan""

Tugas negara ngatasin kemiskinan itu bukan dgn ngasih makan gratis (apalagi beracun), tapi:
- mastiin ketersediaan bahan pokok
- mastiin rakyat bisa afford

Kalo ngasih makanan mateng mending buka katering jgn ngurus negara",
1969633935950037456,🇮🇩 Yanti 🇮🇩,Pak Purbaya lihatlah MBG di Kabupaten Blora pak 😭 https://t.co/lPszTf1hYa,
1968350722606662020,Daniel,Menu MBG apa kayak gini? 😭 https://t.co/YjMrNclf9I,
1968881773221150989,Okky Madasari,"Program dihentikan atau dinepalkan?
Yang bertanggung jawab mundur atau dinepalkan?

Keracunan MBG ini sudah masif dan sistemik. Melanjutan dan membiarkan sama dengan membiarkan anak-anak dibunuh (program) negara. https://t.co/jLf78xIV4z",
1969036249466810735,MBG,Supposed leaked image of Leon in RE9. https://t.co/EtwmA1Nh08,
1968862919367545062,Muklis Nonton,Viral surat larangan orang tua yang menggugat kalo anaknya keracunan MBG https://t.co/JQGapl83nI,
1970282066085560701,Yaya,"Mbg kalah sama ibu2 yg jualan sarapan di pinggir jalan. 10K udah dapet nasi, ayam sama mie, rasanya juga enak &amp; pilihannya juga banyak https://t.co/P8CQNH0X09",
1968571561469952031,To Gman,"MBG itu harusnya Makan Bergizi Gratis, bukan malah Makan Beracun Gratis, parahnya.. justru semakin banyak siswa yg keracunan, jika ada korban jiwa siapa yg harus bertanggung jawab???

Program ini harus distop dahulu, dan dievaluasi ulang, terutama sistemnya, jgn sampai akhirnya https://t.co/atUhwkoky9",
1968974244492005677,Kompas.com,"Anggota DPR Sebut Ada 5.000 Dapur MBG Fiktif, BGN Bantah

Baca di https://t.co/fX7fqbD94G https://t.co/OagT7fhM9g",
1969050245540499467,ちゃちゃん,モブ https://t.co/Uh2WhYCmqJ,
1968937303784517857,Iman Zanatul Haeri,"Setiap ada keracunan MBG, yang dipublikasikan nama sekolahnya, bukan nama dapur/SPPD-nya. 

🥲",
1968514349359640977,Catholic 𐕣,Keracunan mbg beneran kirain cuma candaan https://t.co/wmU88AjgBu,
1969773305260585076,NdrewsTjan©️,MBG bandeng Presto sob🥳. https://t.co/vbSiECIHgs,
1969031222056628512,zhil,"MBG adalah premanisme jahat terhadap UMKM di sekitar sekolah. 

Bisnis industri makanan yang awalnya dijalankan oleh warung jajanan, dirampok oleh yayasan dan bisnis milik parpol2 tertentu, didanai pajak 1 triliun/hari. 

Makanan yang diadakan basi, busuk, dan asal-asalan.

Ini",
1969607052604686525,HARD PROTECK,"GOBLOK...

HEBOH SURAT MBG DI BREVES, ANAK KERACUNAN ORANG TUA DILARANG MENUNTUT... ‼️

#BongkarIjazahPalsuGibran
#BongkarIjazahPalsuGibran
🆘🆗 https://t.co/CB1rvWe5HP",
1968177119386820883,Iman Zanatul Haeri,"Murid videokan MBG, langsung dilarang. Guru parodikan MBG, langsung dilarang. Kemudian muncul larangan-larangan memposting MBG di sekolah. Orang tua, guru dan sekolah ditekan agar ikut bertanggung jawab jika MBG bermasalah. 

Sampai ketika guru dan siswa keracunan. Rumah sakit",
1969733207739543812,salsabila khoirunisa,"Kini program MBG sudah diawasi ketat oleh pemerintah mulai dari bahan bakunya, takaran gizinya, proses masaknya, hingga distribusinya. Semua terkontrol dengan baik untuk memastikan kualitas MBG tetap terjaga #mbg #gasssnow https://t.co/tWQuoMmWo5",
1968605770431271317,Edy Bayo Regar,"Mungkin harus ada dulu yg mati,baru MBG ini dievaluasi atau dihentikan oleh pemerintah.

Beruntung yg ngerekam belum sempat makan. https://t.co/sY2hrK7hxE",
1970317665500905859,¥@N'$,"Guru cicipi MBG....
Setelah dianggap jadi beban negara
Sekarang jadi tumbal negara 😫 https://t.co/2zBTpIVUd4",
1969936430555349421,Kompas.com,"""Kan ditulis 400-500 sekian gitu, ternyata sudah saya cek benar dan saya sudah dapat data dari polisi, dari rumah sakit, 150 (pelajar),"" ujar Nanik, saat dihubungi https://t.co/4VOOkFAPN4, Minggu (21/9/2025).  

Baca selengkapnya 👇 
https://t.co/9fqrSWLVax 

~LL #Keracunan #MBG https://t.co/DKnbyGDq3z",
1970262157196697905,OposisiCerdas.com,"Dugaan Ompreng MBG Pakai Minyak Babi, Muhammadiyah Minta Hentikan, NU Nilai Bisa Disucikan https://t.co/KsvO2lANDN",
1970146832094540096,ayu🍉,"Kids are getting food poisoned by the MBG program. While people urge the government to stop it, here they're facilitating the Indonesian diaspora to stay at the f*cking AMAN that costs approximately $3k/night with our tax money🤩 what a day to live as an Indonesian.",
1969715825767792859,Cak Khum,427 siswa keracunan MBG di Bengkulu https://t.co/tG1ggTP9tf,
1970400096509665657,Wati Dakinem,"Dari MBG, tumbuh asa, cerdas, dan generasi tangguh untuk Indonesia yang hebat https://t.co/qE6aEj58QB",
1970400080860737764,พิเศษเพลง🇹🇭🇵🇸,@Sempiternal297 Tolong konfirmasi yg meninggal grgr mbg? Kamu daerah mana? Kalo beneran meninggal karna keracunan wajib harus di blow up beritanya kak biar masyarakat pada tau,
1970400020483735918,Bintang Emon,Hentikan MBG berarti mengorbankan masa depan anak-anak dan peluang mereka untuk maju https://t.co/4L0vJOE0kr,
1970399949188972613,Andara Utinita,"@xxunday @Geusan1 @regar_op0sisi Jgn nutup mata akan ketidaksiapan negara ini untuk mengelola program sebesar MBG, intinya ni program kalau mau berialan dgn baik butuh perencanaan matang ga rusuh kaya gini. Udah brp bnyk yg keracunan? Km anggap sepele kahhh",
1970399948866048194,Chinatsu Nana,"@nadima_psptaa20 MBG itu peluang besar bagi UMKM dan koperasi desa, semua bisa dapet manfaat",
1970399735845708233,"Electronics, Kitchen & Fashion",@RadioElshinta tergantung umr masing2 dapur mbg,
1970399702370988276,yue,kasus mbg udh ampe dom gue wadidaw bgt,
1970399691675513084,Grok,"@BishamonAvatar @kemenKPK_RI I checked recent reports from sources like Reuters and Tempo. There are over 5,000 cases of food poisoning linked to Indonesia's MBG program, causing illness and hospitalizations, but no confirmed deaths. The claim of a fatality appears unverified.",
1970399683517563349,tin 🇵🇸 |,"@pouunji Bener kak, aku disini jg ga ngebela MBG kok. Cuma ngasih tau aja info dari sodaraku. Kalo menurutku pribadi yaa program kek MBG ini mendingan bangun dapur sekolah sebenernya. Jumlah siswa 1 sekolah mungkin sekitar 300-500, lebih masuk akal porsinya.",
1970399609903354235,Lai,"@Jelli_cent Kalo di ganti dgn pemberian uang, dia dan konco2 nya g bisa lagi dpt cuan, kan proyek sppg MBG ini harus melalui satu yayasan, bisa kering isi rekening nya,,,?!",
1970399586067062827,Milea🍭,@Beeranjak MBG kek gini aku mau,
1970399549178216468,ANNA_Poultry,"Inilah the real MBG, kalo yg di negara onoh kepanjangan B di MBG bukan Begizi tapi Berbahaya",
1970399545713668330,Adji Pramudiya,@Anak__Ogi @prabowo @Gerindra Ayoo kita suarakan sekencang kencangnya kondisi MBG yg rawan dikorup oleh para maling² intelektual,
1970399517200850981,Fahmi agung,"Dampak MBG lebih luas dari yang lo kira, ini soal masa depan Indonesia https://t.co/TBZVPmRnOV",
1970399474733535721,Footballer Vote,"@ARSIPAJA BGN sudah buat Satu Miliar Porsi MBG, dan berapa miliar anggaran MBG yg terindikasi 'Di Korupsi' ? ..

Dan, berapa miliar anggaran MBG yg telah disetor ke Keluarga Solo ? ..

Keracunan MBG logika-nya anggaran di korupsi, dgn minim-nya anggaran MBG berpotensi Keracunan terjadi ..",
1970399437752279348,Guntur Raditya,"Jangan biarkan kebaikan berhenti di tengah jalan, teruskan MBG demi SDM Indonesia yang prima https://t.co/YXzJSjsO95",
1970399430093480216,arsyila hanadi,MBG jadi pembeda nyata antara masa depan yang penuh harapan dan yang ketinggalan https://t.co/uweH8T8tSp,
1970399409423949920,tempo.co,"Baca artikel ini dan share pendapat kalian di kolom komentar!
https://t.co/pgFHVUkQeF",
1970399390184648783,Sugar,"@ARSIPAJA Dari 1 miliar porsi yang dikonsumsi berapa porsi yah?

Kan ada beberapa sekolah yg menolak mbg.",
1970399356747645213,Arif Wahyudi,@Dakenwolve @MurtadhaOne1 audience pingin dengerin MBG nasi basi,
1970399287323619430,Lusius Genik,MBG Coret tiap hari beredar di semua medsos.,
1970399282089074752,☆$ēķäî☆,"@yaniarsim Makanan Beracun Gratis (MBG)
Mumpung lagi gratis bu guru...🤣🤣🤣",
1970399236337578412,dewi melati,Bersama jaga keberlanjutan MBG demi masa depan Indonesia yang lebih cerah https://t.co/Y9J5Bww0WP,
1970399177374122464,Ghena Ulya,"MBG bukan sekadar makan enak, tapi peluang anak bangsa untuk berkembang utuh https://t.co/fLkkLF0qwV",
1970399169241317876,Memet teja,"@Urrangawak Pemikiran yang kacau, kalau orang tua tdk dapat kerja, tidak dapat memberikan makan sekeluarga, anaknya yg sekolah dapat makan MBG hanya 1 X, belum lagi mutu gizinya dipertanyakan, apakah lebih baik???",
1970399132742492352,Muhammad Yoenoes,@infobdg MBG akan lebih manfaat jika di kelola masing-masing sekolah lewat Komite Sekolah,
1970399127189233951,#IndonesiaGelap,Kids are getting food poisoned by the MBG program.. what a day to live as an Indonesian.,
1970399125612175586,Int@n T€nTriNo WP,"@tempodotco Hedeuh! Keracunan mulu, memprihatinkan MBG",
1970399117521363197,jun njun,"@ululceriya kak, di pondok dl aku sekolah jg dapet MBG lho",
1970399115600425179,Baktiono Latupono,"MBG itu investasi yang hasilnya nggak kelihatan sekarang, tapi dampaknya terasa hingga masa depan https://t.co/dvgEKLoNuU",
1970399009425760561,pemuja kerang ajaib,@tempodotco udah terlanjur tanam modal banyak di dapur MBG ya pak ?,
1970398995613974539,hinyeh,"Udahlah wok ga usah gengsi, berhentiin program mematikan itu. MBG tuh makanan beracun gratis, not makanan bergizi gratis. Mau bilang salahin yg masak juga tetep yg salah tu ORANG YG BIKIN PROGRAM GA NGOTAK INI YE TOLOL",
1970398938739155158,Ulul🍉,"MBG ini selalin jadi ladang korupsi, ladang dosa jg buat semua yg terlibat. Inget hey pertanggungjawaban kalian semua nanti di akhirat.",
1970398937300509175,ּ,"@tinulit Selain lebih aman karna udah biasa ngehandle buat porsi banyak, tau juga biar makanan sampe di anak2 ga basi, juga bisa memakmurkan umkmnya. Dengan dana mbg sebesar itu kayanya pake catering yang jelas memungkinkan banget, triliunan loh",
