preprocessed_tweets,tweet_content,tweet_label,confidence
menurutmu salah mbg,Apa yang menurutmu salah dari MBG? https://t.co/yauyuRmlvc,negative,0.9991514682769777
surat edaran proyek makan beracun gratis mbg poin 7 keracunan dan lain-lain mempublikasikannya bentuk pembungkaman,"Surat Edaran Proyek Makan Beracun Gratis (MBG) 

Poin 7. Jika terjadi keracunan, dll pihak kedua tidak boleh mempublikasikannya.

Apakah ini sebagai bentuk pembungkaman? https://t.co/PINZf9jhaH",negative,0.9723763465881348
korban keracunan mbg berjatuhan ribuan siswa korban keracunan mbg pengelola dapurnya ditangkap pemilik dapurnya anggota dewan,"Korban keracunan MBG masih terus berjatuhan.

Sampai hari ini sudah ribuan siswa jadi korban keracunan MBG. Namun seperti sebelumnya tidak ada pengelola dapurnya yang DITANGKAP. Apa karena pemilik dapurnya anggota dewan....? https://t.co/uvAFSR0HdF",neutral,0.9968149065971376
mbg bukti paripurna jeleknya kualitas kompetensi elite penguasa indonesia sih mbg proyek krl pabrik elite membangun krl pabrik bodoh malas gampang bikin dapur,"MBG adalah bukti paripurna jeleknya kualitas dan kompetensi elite penguasa Indonesia. 

Kenapa sih harus MBG? Kenapa nggak proyek KRL atau pabrik? 

Jawab: karena para elite itu tidak mampu membangun KRL dan pabrik. Karena mereka bodoh dan malas. Lebih gampang bikin dapur. https://t.co/DZsL3q5vpJ",negative,0.9994484782218932
menteri keuangan purbaya yudhi sadewa menarik anggaran belanja kementerian lembaga terserap kementerian lembaga disisir anggaran program makan bergizi gratis mbg,"Menteri Keuangan Purbaya Yudhi Sadewa bakal menarik kembali anggaran belanja kementerian/lembaga yang tak terserap. 

Semua kementerian/lembaga bakal disisir, termasuk anggaran program makan bergizi gratis (MBG). https://t.co/lvJAgWbeYJ",neutral,0.9989510774612428
daftar nama bertanggung proyek mbg menimbulkan korban jiwa,Berikut adalah daftar nama yang harus bertanggung jawab apabila proyek MBG menimbulkan korban jiwa. https://t.co/5T0I8YVuRw,neutral,0.9986810088157654
gila sih keracunan mbg mencapai ribuan gini satupun dipidana kejahatan dilindungi rezim,"Gila sih kalo kasus keracunan MBG bisa mencapai ribuan gini, tapi gak ada satupun yg dipidana. Kejahatan yang dilindungi oleh rezim. https://t.co/28JDFbm8Mc",negative,0.9993127584457396
hentikan mbg evaluasi libatkan ahli masukan rakyat dijadikan program ujicoba berisiko tolong retwit didengar pemerintah,Hentikan dulu MBG. Evaluasi. Libatkan para ahli memberi masukan. Rakyat jangan dijadikan program ujicoba yg berisiko tinggi. Tolong retwit yg byk supaya didengar pemerintah 🙏,neutral,0.9990205764770508
mbg investasi bangsa berita enak terdengar terbawa arus pesimisme manfaat mbg nyata memperkuat ketahanan pangan membuka lapangan kerja mendorong ekonomi lokal senjata utama melawan,"MBG itu investasi masa depan bangsa!
Walaupun banyak berita tidak enak terdengar, jangan sampai kita terbawa arus pesimisme. Manfaat MBG nyata.
memperkuat ketahanan pangan, membuka lapangan kerja, mendorong ekonomi lokal, dan yang paling penting menjadi senjata utama melawan https://t.co/AKCnRpeRcP",positive,0.970715880393982
breaking 75 pelajar cipongkor bandung barat keracunan mbg pemkab tetapkan status kejadian anak keracunan dirujuk rsud cililin kondisi ditelusuri korban bertambah,"Breaking: 75 pelajar di Cipongkor, bandung barat keracunan MBG.

Pemkab  tetapkan status KEJADIAN LUAR BIASA, anak yg keracunan dirujuk ke RSUD Cililin, kondisi masih ditelusuri. Ada kemungkinan jumlah korban bisa bertambah.

 https://t.co/j76LAoHvEh",neutral,0.9988715052604676
